mpa_exposure_class,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
10-25 km,2009,BMP,motorised,12,202,0.0594059405940594,0.41089108910891087,0.5544554455445545,0.034653465346534656
10-25 km,2009,BOM,other,0,202,0.0,0.41089108910891087,0.5544554455445545,0.034653465346534656
10-25 km,2009,BOV,sail/row,30,202,0.1485148514851485,0.41089108910891087,0.5544554455445545,0.034653465346534656
10-25 km,2009,CAM,motorised,44,202,0.21782178217821782,0.41089108910891087,0.5544554455445545,0.034653465346534656
10-25 km,2009,CAV,sail/row,61,202,0.30198019801980197,0.41089108910891087,0.5544554455445545,0.034653465346534656
10-25 km,2009,JAV,sail/row,9,202,0.04455445544554455,0.41089108910891087,0.5544554455445545,0.034653465346534656
10-25 km,2009,PED,other,7,202,0.034653465346534656,0.41089108910891087,0.5544554455445545,0.034653465346534656
10-25 km,2009,PQM,motorised,17,202,0.08415841584158416,0.41089108910891087,0.5544554455445545,0.034653465346534656
10-25 km,2009,PQV,sail/row,12,202,0.0594059405940594,0.41089108910891087,0.5544554455445545,0.034653465346534656
10-25 km,2010,BMG,motorised,0,210,0.0,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,BMM,motorised,13,210,0.06190476190476191,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,BMP,motorised,20,210,0.09523809523809523,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,BOM,other,0,210,0.0,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,BOV,sail/row,23,210,0.10952380952380952,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,CAM,motorised,81,210,0.38571428571428573,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,CAR,other,5,210,0.023809523809523808,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,CAV,sail/row,30,210,0.14285714285714285,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,JAV,sail/row,9,210,0.04285714285714286,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,PED,other,9,210,0.04285714285714286,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,PQM,motorised,10,210,0.047619047619047616,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,PQR,other,0,210,0.0,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2010,PQV,sail/row,10,210,0.047619047619047616,0.5904761904761905,0.34285714285714286,0.06666666666666667
10-25 km,2011,BMG,motorised,0,221,0.0,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,BMM,motorised,13,221,0.058823529411764705,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,BMP,motorised,12,221,0.05429864253393665,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,BOM,other,11,221,0.049773755656108594,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,BOV,sail/row,16,221,0.07239819004524888,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,CAM,motorised,69,221,0.31221719457013575,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,CAR,other,7,221,0.03167420814479638,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,CAV,sail/row,25,221,0.11312217194570136,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,JAM,motorised,2,221,0.00904977375565611,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,JAV,sail/row,5,221,0.02262443438914027,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,PED,other,13,221,0.058823529411764705,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,PQM,motorised,16,221,0.07239819004524888,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,PQR,other,17,221,0.07692307692307693,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2011,PQV,sail/row,15,221,0.06787330316742081,0.5067873303167421,0.27601809954751133,0.2171945701357466
10-25 km,2012,BMG,motorised,0,233,0.0,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2012,BMM,motorised,14,233,0.060085836909871244,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2012,BMP,motorised,7,233,0.030042918454935622,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2012,BOM,other,20,233,0.08583690987124463,0.5321888412017167,0.26609442060085836,0.2017167381974249
10-25 km,2012,BOV,sail/row,18,233,0.07725321888412018,0.5321888412017167,0.26609442060085836,0.2017167381974249
