gear_type,year,gear_production_ton,year_total,share
espinhel,2007,4.28,1053.28,0.004063496885918274
linha,2007,110.42,1053.28,0.10483442199605043
linha e covo lagosta,2007,10.209999999999999,1053.28,0.009693528786267658
linha e covo peixe,2007,0.99,1053.28,0.0009399210086586663
linha e jereré,2007,335.99,1053.28,0.3189939996961872
mergulho livre,2007,1.92,1053.28,0.0018228771077016558
puçá,2007,3.6399999999999997,1053.28,0.0034558711833510554
rede agulha,2007,58.43000000000001,1053.28,0.05547432781406654
rede de espera,2007,242.85,1053.28,0.23056547166945163
rede de tapagem,2007,9.879999999999999,1053.28,0.009380221783381437
sardinheira,2007,152.72,1053.28,0.14499468327510254
tarrafa,2007,1.98,1053.28,0.0018798420173173325
tremalho,2007,11.11,1053.28,0.01054800243050281
arrasto de porta,2008,269.24,2741.1,0.09822334099449127
arrasto de praia,2008,95.52,2741.1,0.034847324066980406
coleta de camarão,2008,22.53,2741.1,0.008219328007004489
coleta manual,2008,51.120000000000005,2741.1,0.01864944730217796
covo lagosta,2008,118.78,2741.1,0.04333296851628908
covo peixe,2008,288.44,2741.1,0.10522782824413557
covo peixe e lagosta,2008,45.33,2741.1,0.0165371566159571
curral,2008,0.13,2741.1,4.7426215752799974e-05
espinhel,2008,14.54,2741.1,0.00530443982342855
linha,2008,279.52,2741.1,0.10197366020940497
linha e covo lagosta,2008,12.329999999999998,2741.1,0.0044981941556309505
linha e jereré,2008,371.82,2741.1,0.13564627339389296
mergulho livre,2008,23.93,2741.1,0.008730071868957717
puçá,2008,8.29,2741.1,0.0030243332968516285
rede agulha,2008,105.3,2741.1,0.03841523475976798
rede de espera,2008,586.1,2741.1,0.21381926963627743
rede de tapagem,2008,6.0,2741.1,0.002188902265513845
sardinheira,2008,346.24,2741.1,0.12631425340191896
tarrafa,2008,35.9,2741.1,0.013096931888657837
tremalho,2008,60.04,2741.1,0.02190361533690854
arrasto de porta,2009,351.59999999999997,6058.9447,0.058029907419356375
arrasto de praia,2009,148.10440000000003,6058.9447,0.02444392667917897
coleta manual,2009,139.1047,6058.9447,0.022958569006249555
compressor,2009,75.4487,6058.9447,0.012452449021361757
covo lagosta,2009,0.3472,6058.9447,5.73037083503997e-05
covo peixe,2009,86.7969,6058.9447,0.014325415447346794
curral,2009,1.304,6058.9447,0.00021521899679988828
espinhel,2009,15.3543,6058.9447,0.002534154173745801
linha,2009,930.5465,6058.9447,0.1535822731638399
linha e covo peixe,2009,0.0,6058.9447,0.0
linha e jereré,2009,1025.2275,6058.9447,0.169208921811087
mergulho livre,2009,38.730999999999995,6058.9447,0.006392367304491159
puçá/mangote,2009,51.2546,6058.9447,0.0084593279090334
rede agulha,2009,77.36930000000001,6058.9447,0.012769434914961348
rede caçoeira,2009,119.8289,6058.9447,0.019777189912296114
rede de espera,2009,861.0739,6058.9447,0.14211615101883995
rede de tapagem,2009,1.809,6058.9447,0.00029856684448696153
sardinheira,2009,1297.3169,6058.9447,0.21411598293676457
tainheira,2009,672.4262,6058.9447,0.11098074554138115
tarrafa,2009,75.759,6058.9447,0.012503662560247496
tresmalho,2009,89.54169999999999,6058.9447,0.014778431630181407
arrasto de porta,2010,79.687,5342.8460000000005,0.014914710249930466
arrasto de praia,2010,146.697,5342.8460000000005,0.027456715016678374
coleta manual,2010,185.59,5342.8460000000005,0.034736168701100495
compressor,2010,204.843,5342.8460000000005,0.03833967889023939
covo lagosta,2010,7.822,5342.8460000000005,0.001464013748477871
covo peixe,2010,54.332,5342.8460000000005,0.010169112117399603
curral,2010,6.349,5342.8460000000005,0.0011883179863316292
espinhel,2010,28.895999999999997,5342.8460000000005,0.005408353525443181
linha,2010,781.5269999999999,5342.8460000000005,0.14627541201823893
linha e covo peixe,2010,0.0,5342.8460000000005,0.0
linha e espinhel,2010,0.0,5342.8460000000005,0.0
linha e jereré,2010,878.744,5342.8460000000005,0.16447114515372518
linha e rede de espera,2010,0.0,5342.8460000000005,0.0
mergulho livre,2010,18.585,5342.8460000000005,0.003478483190419488
puçá,2010,27.783,5342.8460000000005,0.005200037582966082
rede caçoeira,2010,105.668,5342.8460000000005,0.01977747440221934
rede de agulha,2010,93.40899999999999,5342.8460000000005,0.017483004376319285
rede de espera,2010,884.768,5342.8460000000005,0.16559863413618883
rede de tapagem,2010,2.956,5342.8460000000005,0.00055326318594996
