local,year,species,sp_production_ton,rel_abundance
AREIA BRANCA,2012,Cururuca,27.6,0.02803453529710513
AREIA BRANCA,2012,Dentao,8.700000000000001,0.00883697308278314
AREIA BRANCA,2012,Dourado,9.4,0.009547993905535805
AREIA BRANCA,2012,Espada,2.8,0.002844083291010665
AREIA BRANCA,2012,Garabebeu,0.1,0.00010157440325038091
AREIA BRANCA,2012,Garajuba,21.1,0.021432199085830373
AREIA BRANCA,2012,Garoupa,1.7,0.0017267648552564752
AREIA BRANCA,2012,Guaiuba,13.3,0.01350939563230066
AREIA BRANCA,2012,Lagosta,142.1,0.14433722701879126
AREIA BRANCA,2012,Marisco,0.0,0.0
AREIA BRANCA,2012,Outros,9.8,0.00995429151853733
AREIA BRANCA,2012,Pampo,0.3,0.0003047232097511427
AREIA BRANCA,2012,Pargo,5.2,0.005281868969019807
AREIA BRANCA,2012,Paru,7.199999999999999,0.0073133570340274245
AREIA BRANCA,2012,Peixe Galo,2.0,0.002031488065007618
AREIA BRANCA,2012,Peixe Voador,0.0,0.0
AREIA BRANCA,2012,Pescada,9.1,0.009243270695784662
AREIA BRANCA,2012,Pirauna,0.0,0.0
AREIA BRANCA,2012,Polvo,0.0,0.0
AREIA BRANCA,2012,Salema,1.5,0.0015236160487557136
AREIA BRANCA,2012,Saramunete,0.0,0.0
AREIA BRANCA,2012,Sardinha,0.6,0.0006094464195022854
AREIA BRANCA,2012,Serra,27.5,0.027932960893854747
AREIA BRANCA,2012,Siri,0.0,0.0
AREIA BRANCA,2012,Sirigado,14.6,0.014829862874555611
AREIA BRANCA,2012,Tainha,4.1,0.004164550533265617
AREIA BRANCA,2012,Tilapia,0.0,0.0
AREIA BRANCA,2012,Ubarana,0.0,0.0
AREIA BRANCA,2012,Xareu,10.4,0.010563737938039615
AREIA BRANCA,2013,Agulha,10.2,0.007011273027220235
AREIA BRANCA,2013,Albacora,950.7,0.6534918889194391
AREIA BRANCA,2013,Arabaiana,3.7,0.002543304921638713
AREIA BRANCA,2013,Ariaco,63.90000000000001,0.04392356337640913
AREIA BRANCA,2013,Arraia,10.8,0.0074237008523508384
AREIA BRANCA,2013,Bagre,5.4,0.0037118504261754192
AREIA BRANCA,2013,Biquara,11.0,0.0075611767940610385
AREIA BRANCA,2013,Bonito,10.8,0.0074237008523508384
AREIA BRANCA,2013,Buzios,0.0,0.0
AREIA BRANCA,2013,Caico,14.3,0.00982952983227935
AREIA BRANCA,2013,Camarao,0.9,0.0006186417376959031
AREIA BRANCA,2013,Camurim,4.9,0.0033681605718999174
AREIA BRANCA,2013,Camurupim,2.7,0.0018559252130877096
AREIA BRANCA,2013,Caranguejo,0.0,0.0
AREIA BRANCA,2013,Carapeba,3.1,0.0021308770965081107
AREIA BRANCA,2013,Cavala,10.2,0.007011273027220235
AREIA BRANCA,2013,Caçao,9.2,0.006323893318669231
AREIA BRANCA,2013,Cioba,40.6,0.027907616167170742
AREIA BRANCA,2013,Cururuca,17.7,0.012166620841352761
AREIA BRANCA,2013,Dentao,14.6,0.010035743744844651
AREIA BRANCA,2013,Dourado,8.7,0.00598020346439373
AREIA BRANCA,2013,Espada,12.9,0.008867198240307945
AREIA BRANCA,2013,Galo Do Alto,1.5,0.0010310695628265051
AREIA BRANCA,2013,Garabebeu,0.0,0.0
AREIA BRANCA,2013,Garajuba,23.8,0.016359637063513885
AREIA BRANCA,2013,Garoupa,0.4,0.0002749518834204014
AREIA BRANCA,2013,Guaiuba,8.9,0.006117679406103931
AREIA BRANCA,2013,Lagosta,113.3,0.0778801209788287
AREIA BRANCA,2013,Marisco,0.0,0.0
AREIA BRANCA,2013,Outros,24.8,0.017047016772064886
AREIA BRANCA,2013,Pargo,1.1,0.0007561176794061039
AREIA BRANCA,2013,Paru,4.1,0.002818256805059114
AREIA BRANCA,2013,Peixe Voador,0.0,0.0
AREIA BRANCA,2013,Pescada,9.9,0.0068050591146549344
AREIA BRANCA,2013,Polvo,0.0,0.0
AREIA BRANCA,2013,Salema,1.7,0.0011685455045367058
