platform_exposure_class,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
20-50 km,2012,PQM,motorised,46,973,0.047276464542651594,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2012,PQV,sail/row,69,973,0.07091469681397738,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2013,BMG,motorised,19,573,0.03315881326352531,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,BMM,motorised,102,573,0.17801047120418848,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,BMP,motorised,19,573,0.03315881326352531,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,BOM,other,71,573,0.12390924956369982,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,BOV,sail/row,98,573,0.17102966841186737,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,CAM,motorised,128,573,0.22338568935427575,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,CAR,other,5,573,0.008726003490401396,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,CAV,sail/row,15,573,0.02617801047120419,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,JAM,motorised,31,573,0.05410122164048865,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,JAV,sail/row,28,573,0.04886561954624782,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,PED,other,29,573,0.0506108202443281,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,PQM,motorised,13,573,0.02268760907504363,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2013,PQV,sail/row,15,573,0.02617801047120419,0.5445026178010471,0.27225130890052357,0.18324607329842932
20-50 km,2014,BMG,motorised,26,566,0.045936395759717315,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,BMM,motorised,89,566,0.15724381625441697,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,BMP,motorised,15,566,0.026501766784452298,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,BOM,other,77,566,0.13604240282685512,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,BOV,sail/row,99,566,0.17491166077738515,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,CAM,motorised,127,566,0.22438162544169613,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,CAR,other,6,566,0.01060070671378092,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,CAV,sail/row,13,566,0.022968197879858657,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,JAM,motorised,39,566,0.06890459363957598,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,JAV,sail/row,22,566,0.038869257950530034,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,PED,other,29,566,0.05123674911660778,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,PQM,motorised,10,566,0.0176678445229682,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2014,PQV,sail/row,14,566,0.024734982332155476,0.5406360424028268,0.26148409893992935,0.1978798586572438
20-50 km,2015,BMG,motorised,41,601,0.06821963394342762,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2015,BMM,motorised,103,601,0.1713810316139767,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2015,BMP,motorised,38,601,0.0632279534109817,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2015,BOM,other,84,601,0.13976705490848584,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2015,BOV,sail/row,76,601,0.1264559068219634,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2015,CAM,motorised,130,601,0.21630615640599002,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2015,CAR,other,3,601,0.004991680532445923,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2015,CAV,sail/row,10,601,0.016638935108153077,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2015,JAM,motorised,42,601,0.06988352745424292,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2015,JAV,sail/row,22,601,0.036605657237936774,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2015,PED,other,28,601,0.04658901830282862,0.6073211314475874,0.20133111480865223,0.1913477537437604
20-50 km,2015,PQM,motorised,11,601,0.018302828618968387,0.6073211314475874,0.20133111480865223,0.1913477537437604
