local,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,cpue_ton_per_trip,platform_exposure_class,mpa_exposure_class,cpue_per_vessel,cpue_per_fisherman,log_fleet,log_fishermen,log_fleet_c,log_fishermen_c,year_c,log_cpue
CAICARA DO NORTE,2012,1450.1,14516,406.0,571.0,0.0998966657481399,20-50 km,25-50 km,3.5716748768472906,2.5395796847635723,6.0063531596017325,6.3473892096560105,1.5594170833722911,0.9828135622355241,-2.0,-2.3036189697791123
CAICARA DO NORTE,2013,1634.4,14222,356.0,566.0,0.1149205456335255,20-50 km,25-50 km,4.591011235955056,2.8876325088339225,5.87493073085203,6.338594078203183,1.427994654622589,0.9740184307826967,-1.0,-2.1635142969400514
CAICARA DO NORTE,2014,1081.2,6908,178.0,557.0,0.1565141864504922,20-50 km,25-50 km,6.074157303370787,1.941113105924596,5.181783550292085,6.322565239927284,0.7348474740626436,0.9579895925067978,0.0,-1.8546086248642766
CAICARA DO NORTE,2015,760.9,7474,181.0,604.0,0.1018062617072518,20-50 km,25-50 km,4.203867403314917,1.2597682119205298,5.198497031265826,6.403574197934815,0.7515609550363846,1.0389985505143287,1.0,-2.284683666862952
CAICARA DO NORTE,2016,1672.6,6376,177.0,561.0,0.2623274780426599,20-50 km,25-50 km,9.449717514124293,2.9814616755793226,5.176149732573829,6.329720905522696,0.7292136563443874,0.9651452581022095,2.0,-1.338161639522626
CAICARA DO NORTE,2017,1750.0,5230,190.0,494.0,0.3346080305927342,20-50 km,25-50 km,9.210526315789474,3.54251012145749,5.247024072160486,6.202535517187923,0.8000879959310447,0.8379598697674364,3.0,-1.094795490141409
CAICARA DO NORTE,2018,424.39,4084,200.0,554.0,0.1039152791380998,20-50 km,25-50 km,2.12195,0.7660469314079422,5.298317366548036,6.317164686747284,0.8513812903185949,0.9525890393267975,4.0,-2.2641793354990534
CAICARA DO NORTE,2019,1122.63,12633,150.0,561.0,0.0888648777012586,20-50 km,25-50 km,7.4842,2.0011229946524067,5.0106352940962555,6.329720905522696,0.5636992178668141,0.9651452581022095,5.0,-2.420638291001832
CAICARA DO NORTE,2020,999.21,8105,154.0,534.0,0.1232831585441085,20-50 km,25-50 km,6.488376623376624,1.871179775280899,5.0369526024136295,6.280395838960195,0.5900165261841881,0.9158201915397086,6.0,-2.093271467402084
CAICARA DO NORTE,2021,1250.73997,8799,138.0,509.6,0.1421456949653369,20-50 km,25-50 km,9.06333311594203,2.4543562990580847,4.927253685157205,6.2336261042579535,0.48031760892776365,0.8690504568374671,7.0,-1.9509027264978875
