municipality,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,n_locals,cpue_ton_per_trip,richness,shannon_h,simpson_1d,pielou_j,total_production_div
Porto do Mangue,2010,452.342,7630,163.0,328.0,1,0.05928466579292267,38,2.8978965125217235,0.9279996946959939,0.7966537108057667,452.3439999999999
Porto do Mangue,2011,579.2239999999999,7627,147.0,291.5,1,0.07594388357152221,50,2.9725115524791494,0.9251186553253782,0.7598399979638737,579.2229999999998
Porto do Mangue,2012,559.0,10340,209.0,276.0,1,0.054061895551257254,46,2.9413136439810588,0.9168473221590854,0.768239523993622,558.7
Porto do Mangue,2013,663.5,10207,190.0,298.0,1,0.06500440873910061,41,2.964969565755223,0.9321354723591087,0.7984144410011548,663.5999999999999
Porto do Mangue,2014,257.51,4468,95.0,266.0,1,0.057634288272157566,36,3.0226234955732254,0.9398299556979923,0.843479146471447,257.5
Porto do Mangue,2015,218.2,6281,126.0,285.0,1,0.03473969113198535,44,3.134942176994683,0.942466526811736,0.8284315745954496,218.2
Porto do Mangue,2016,527.6,5701,122.0,272.0,1,0.09254516751447114,42,3.1338856634049588,0.9461945893215599,0.8384597846944764,528.1
Porto do Mangue,2017,529.0,4348,116.0,244.0,1,0.12166513339466421,36,3.0692807988246025,0.9432875096930042,0.8564991148468558,528.9999999999999
Porto do Mangue,2018,150.24,2996,111.0,279.0,1,0.050146862483311086,42,3.0854795353773534,0.9385932843377078,0.8255089000601524,149.4
Porto do Mangue,2019,398.551,7740,111.0,295.0,1,0.05149237726098191,49,3.1897290590520817,0.948113400331645,0.8195982380277448,398.53999999999996
Porto do Mangue,2020,321.68,6156,101.0,290.0,1,0.05225471085120208,48,3.0646053567500426,0.9365056516927474,0.7916420119014481,321.69
Porto do Mangue,2021,354.64167,7032,111.0,300.2,1,0.05043254692832764,52,3.0599834697098687,0.9326985174634859,0.7744355164222726,354.64000000000004
Porto do Mangue,2022,649.24,6901,117.9,278.3,1,0.09407911896826547,48,2.565723182182753,0.8355716217584177,0.6627718826672419,649.2700000000001
Porto do Mangue,2023,546.13,6850,101.0,273.7,1,0.07972700729927007,49,2.6334083567103836,0.8712199701292626,0.6766520946480576,546.14
Porto do Mangue,2024,393.6,4918,106.0,246.0,1,0.08003253355022368,51,2.7153547138231104,0.8934297752083451,0.6906091387225802,393.6699999999999
Tibau,2008,2.56,4,2.0,6.0,1,,2,0.18920898053816695,0.08935546875,0.2729708579140699,2.56
Tibau,2009,36.267,513,19.0,85.0,1,0.07069590643274855,31,1.9375525171325054,0.6756020612247774,0.5642282285157788,36.2574
Tibau,2010,39.521,1360,40.0,71.0,1,0.029059558823529414,34,2.6594863336967385,0.8793888301554618,0.7541731241408504,39.523999999999994
Tibau,2011,42.845,1100,85.0,55.5,1,0.03895,41,2.472679120639827,0.8299402109076676,0.6658492352443455,42.853
Tibau,2012,35.8,885,18.0,34.5,1,0.04045197740112994,25,2.0392762553897685,0.7150624955864698,0.6335367893457861,35.699999999999996
Tibau,2013,41.4,761,14.0,26.5,1,0.054402102496714844,25,1.6065563359469464,0.5703967309417304,0.49910478793096286,41.300000000000004
Tibau,2014,12.37,367,5.0,23.0,1,0.033705722070844685,23,2.1011158310091864,0.7250260145681582,0.6701067475535294,12.399999999999999
Tibau,2015,16.7,362,9.0,37.0,1,0.04613259668508287,24,1.7604109213490038,0.6028900283265803,0.5539273452634587,16.700000000000003
Tibau,2016,35.2,482,6.0,31.0,1,0.07302904564315353,31,1.978158647588583,0.6652462574611384,0.5760530048000473,35.400000000000006
Tibau,2017,33.0,482,14.0,31.0,1,0.06846473029045644,22,1.8646049437609862,0.6636547291092748,0.6032285133240904,33.00000000000001
Tibau,2018,34.15,483,12.0,50.0,1,0.070703933747412,18,1.300692251488552,0.4919031334568965,0.4500086357179521,33.9
Tibau,2019,33.977,2295,7.0,36.0,1,0.014804793028322438,29,1.49129963368708,0.5468726940723038,0.4428775221965188,33.93
Tibau,2020,17.84,651,6.0,33.0,1,0.027403993855606757,37,2.4894323923247406,0.8549651759822854,0.6894181625141859,17.890000000000004
Tibau,2021,12.84931,671,7.0,30.8,1,0.019149493293591655,33,2.517965853574433,0.8798837132892492,0.7201373969053755,12.82
Tibau,2022,16.07,659,12.9,26.4,1,0.024385432473444612,20,2.314019908197371,0.8632372129742905,0.7724388219285466,15.98
Tibau,2023,23.15,671,6.0,25.6,1,0.03450074515648286,30,2.3464407618863063,0.8647498336008916,0.6898866777145428,23.14
Tibau,2024,17.2,667,5.5,27.0,1,0.02578710644677661,27,2.4103506421275274,0.8668824788191108,0.7313319014632205,17.12
