platform_exposure_class,year,species,sp_production_ton,total_production_ton,species_share
20-50 km,2014,Guaiuba,30.2,2809.7000000000003,0.010748478485247534
20-50 km,2014,Biquara,28.5,2809.7000000000003,0.010143431683097838
20-50 km,2014,Camurim,27.3,2809.7000000000003,0.009716339822756877
20-50 km,2014,Carapeba,23.0,2809.7000000000003,0.008185927323201765
20-50 km,2014,Arraia,20.5,2809.7000000000003,0.007296152614158094
20-50 km,2014,Caçao,18.0,2809.7000000000003,0.006406377905114425
20-50 km,2014,Espada,17.4,2809.7000000000003,0.0061928319749439435
20-50 km,2014,Cavala,16.2,2809.7000000000003,0.005765740114602982
20-50 km,2014,Pargo,14.799999999999999,2809.7000000000003,0.005267466277538526
20-50 km,2014,Paru,11.9,2809.7000000000003,0.00423532761504787
20-50 km,2014,Sirigado,11.5,2809.7000000000003,0.004092963661600882
20-50 km,2014,Camarao,10.799999999999999,2809.7000000000003,0.003843826743068654
20-50 km,2014,Camurupim,7.4,2809.7000000000003,0.0026337331387692635
20-50 km,2014,Buzios,6.9,2809.7000000000003,0.0024557781969605295
20-50 km,2014,Caranguejo,6.4,2809.7000000000003,0.0022778232551517955
20-50 km,2014,Arabaiana,5.2,2809.7000000000003,0.0018507313948108338
20-50 km,2014,Salema,3.3,2809.7000000000003,0.0011745026159376444
20-50 km,2014,Peixe Galo,2.5,2809.7000000000003,0.0008897747090436701
20-50 km,2014,Dentao,2.1999999999999997,2809.7000000000003,0.0007830017439584295
20-50 km,2014,Polvo,1.1,2809.7000000000003,0.0003915008719792149
20-50 km,2014,Sardinha,1.0,2809.7000000000003,0.000355909883617468
20-50 km,2014,Garoupa,0.5,2809.7000000000003,0.000177954941808734
20-50 km,2014,Marisco,0.5,2809.7000000000003,0.000177954941808734
20-50 km,2014,Siri,0.5,2809.7000000000003,0.000177954941808734
20-50 km,2014,Garabebeu,0.30000000000000004,2809.7000000000003,0.00010677296508524043
20-50 km,2014,Tilapia,0.1,2809.7000000000003,3.5590988361746805e-05
20-50 km,2013,Albacora,971.0,4087.4,0.23755932866859128
20-50 km,2013,Peixe Voador,574.4,4087.4,0.14052943191270734
20-50 km,2013,Lagosta,298.2,4087.4,0.07295591329451484
20-50 km,2013,Serra,168.2,4087.4,0.0411508538435191
20-50 km,2013,Dourado,162.29999999999998,4087.4,0.039707393453050834
20-50 km,2013,Ariaco,140.20000000000002,4087.4,0.03430053334638156
20-50 km,2013,Agulha,132.70000000000002,4087.4,0.03246562607036258
20-50 km,2013,Tainha,130.8,4087.4,0.032000782893771104
20-50 km,2013,Outros,130.2,4087.4,0.03185399031168958
20-50 km,2013,Caico,118.59999999999998,4087.4,0.02901600039144688
20-50 km,2013,Espada,95.3,4087.4,0.023315555120614572
20-50 km,2013,Buzios,93.5,4087.4,0.022875177374370014
20-50 km,2013,Biquara,92.3,4087.4,0.022581592210206978
20-50 km,2013,Sirigado,90.3,4087.4,0.02209228360326858
20-50 km,2013,Cioba,87.6,4087.4,0.021431716983901745
20-50 km,2013,Guaiuba,81.8,4087.4,0.020012722023780398
20-50 km,2013,Garajuba,78.6,4087.4,0.019229828252678962
20-50 km,2013,Pescada,75.7,4087.4,0.01852033077261829
20-50 km,2013,Cururuca,70.60000000000001,4087.4,0.01727259382492538
20-50 km,2013,Bagre,67.3,4087.4,0.016465234623477026
20-50 km,2013,Bonito,56.8,4087.4,0.013896364437050448
20-50 km,2013,Carapeba,43.7,4087.4,0.010691393061603953
20-50 km,2013,Camurim,42.3,4087.4,0.010348877036747075
20-50 km,2013,Arraia,39.6,4087.4,0.009688310417380242
20-50 km,2013,Cavala,34.3,4087.4,0.00839164260899349
20-50 km,2013,Camarao,31.9,4087.4,0.007804472280667416
20-50 km,2013,Caçao,30.7,4087.4,0.007510887116504379
20-50 km,2013,Paru,28.1,4087.4,0.006874785927484465
20-50 km,2013,Dentao,20.0,4087.4,0.00489308606938396
20-50 km,2013,Sardinha,17.0,4087.4,0.004159123158976367
20-50 km,2013,Tilapia,13.5,4087.4,0.0033028330968341733
20-50 km,2013,Arabaiana,12.8,4087.4,0.0031315750844057347
20-50 km,2013,Caranguejo,10.8,4087.4,0.0026422664774673386
20-50 km,2013,Pargo,8.5,4087.4,0.0020795615794881833
20-50 km,2013,Salema,7.1,4087.4,0.001737045554631306
20-50 km,2013,Camurupim,6.6,4087.4,0.001614718402896707
20-50 km,2013,Garabebeu,6.400000000000001,4087.4,0.0015657875422028676
20-50 km,2013,Polvo,6.200000000000001,4087.4,0.001516856681509028
20-50 km,2013,Galo Do Alto,6.2,4087.4,0.0015168566815090278
20-50 km,2013,Marisco,2.4,4087.4,0.0005871703283260752
20-50 km,2013,Garoupa,1.8,4087.4,0.0004403777462445564
20-50 km,2013,Siri,1.0999999999999999,4087.4,0.0002691197338161178
20-50 km,2012,Peixe Voador,628.1,3345.3,0.18775595611753804
20-50 km,2012,Albacora,466.7,3345.3,0.13950916210803216
20-50 km,2012,Lagosta,288.5,3345.3,0.08624039697486025
20-50 km,2012,Tainha,129.5,3345.3,0.03871102741159238
20-50 km,2012,Dourado,121.1,3345.3,0.03620004184975936
20-50 km,2012,Caico,118.3,3345.3,0.03536304666248169
20-50 km,2012,Tilapia,114.3,3345.3,0.03416733925208501
20-50 km,2012,Ariaco,108.7,3345.3,0.032493348877529665
20-50 km,2012,Agulha,103.1,3345.3,0.03081935850297432
20-50 km,2012,Guaiuba,98.5,3345.3,0.029444294981018145
20-50 km,2012,Serra,88.29999999999998,3345.3,0.026395241084506613
20-50 km,2012,Cururuca,81.4,3345.3,0.024332645801572357
20-50 km,2012,Biquara,80.10000000000001,3345.3,0.023944040893193436
20-50 km,2012,Garajuba,68.3,3345.3,0.02041670403252324
20-50 km,2012,Bagre,67.6,3345.3,0.02020745523570382
20-50 km,2012,Cioba,58.6,3345.3,0.017517113562311303
20-50 km,2012,Outros,58.5,3345.3,0.017487220877051384
20-50 km,2012,Carapeba,54.9,3345.3,0.016411084207694375
20-50 km,2012,Camurim,50.900000000000006,3345.3,0.015215376797297703
20-50 km,2012,Bonito,50.3,3345.3,0.015036020685738198
20-50 km,2012,Cavala,48.9,3345.3,0.014617523092099361
20-50 km,2012,Sirigado,46.300000000000004,3345.3,0.013840313275341524
20-50 km,2012,Camarao,44.2,3345.3,0.01321256688488327
20-50 km,2012,Pescada,38.0,3345.3,0.01135922039876842
20-50 km,2012,Xareu,33.1,3345.3,0.009894478821032494
20-50 km,2012,Arraia,31.4,3345.3,0.009386303171613906
20-50 km,2012,Espada,29.8,3345.3,0.008908020207455236
20-50 km,2012,Caçao,27.7,3345.3,0.00828027381699698
20-50 km,2012,Paru,22.9,3345.3,0.006845424924520969
20-50 km,2012,Arabaiana,21.6,3345.3,0.00645682001614205
20-50 km,2012,Agulhao,19.8,3345.3,0.005918751681463546
20-50 km,2012,Sardinha,16.6,3345.3,0.004962185753146205
20-50 km,2012,Pargo,15.099999999999998,3345.3,0.0045137954742474505
20-50 km,2012,Caranguejo,13.1,3345.3,0.0039159417690491135
20-50 km,2012,Polvo,13.0,3345.3,0.0038860490837891964
20-50 km,2012,Salema,12.7,3345.3,0.0037963710280094457
20-50 km,2012,Buzios,12.5,3345.3,0.003736585657489612
20-50 km,2012,Dentao,12.5,3345.3,0.003736585657489612
20-50 km,2012,Peixe Galo,8.3,3345.3,0.0024810928765731026
20-50 km,2012,Garabebeu,7.8999999999999995,3345.3,0.0023615221355334347
20-50 km,2012,Pampo,7.3,3345.3,0.0021821660239739332
20-50 km,2012,Bicuda,7.0,3345.3,0.002092487968194183
20-50 km,2012,Marisco,4.5,3345.3,0.0013451708366962604
20-50 km,2012,Camurupim,4.1,3345.3,0.0012256000956565928
20-50 km,2012,Beijupira,3.5,3345.3,0.0010462439840970914
20-50 km,2012,Garoupa,3.4,3345.3,0.0010163512988371744
20-50 km,2012,Cangulo,1.6,3345.3,0.0004782829641586704
20-50 km,2012,Siri,1.0,3345.3,0.000298926852599169
20-50 km,2012,Budiao,0.9,3345.3,0.0002690341673392521
20-50 km,2012,Pirauna,0.6,3345.3,0.00017935611155950136
20-50 km,2012,Saramunete,0.2,3345.3,5.97853705198338e-05
20-50 km,2012,Ubarana,0.1,3345.3,2.98926852599169e-05
20-50 km,2012,Carauna,0.0,3345.3,0.0
20-50 km,2011,Outros,571.251,2928.528,0.19506420973267116
20-50 km,2011,Lagosta,305.009,2928.528,0.10415095911666203
20-50 km,2011,Caico,162.235,2928.528,0.055398138587030764
20-50 km,2011,Dourado,155.20499999999998,2928.528,0.05299761518414712
20-50 km,2011,Albacora,150.204,2928.528,0.05128993132385964
20-50 km,2011,Camarao,112.75800000000001,2928.528,0.03850330268312272
20-50 km,2011,Peixe Voador,108.15899999999999,2928.528,0.03693288915113668
20-50 km,2011,Tainha,103.72399999999999,2928.528,0.035418476449601985
20-50 km,2011,Ariaco,102.033,2928.528,0.03484105325269214
20-50 km,2011,Cururuca,99.001,2928.528,0.03380572082629909
20-50 km,2011,Serra,94.258,2928.528,0.03218613583342895
20-50 km,2011,Guaiuba,80.819,2928.528,0.027597140952724374
20-50 km,2011,Cioba,69.687,2928.528,0.02379591385160053
20-50 km,2011,Bagre,64.923,2928.528,0.022169158020684795
20-50 km,2011,Agulha,64.064,2928.528,0.021875836597771984
20-50 km,2011,Biquara,61.77,2928.528,0.021092507908409962
20-50 km,2011,Carapeba,57.753,2928.528,0.019720829030830507
20-50 km,2011,Bonito,45.50899999999999,2928.528,0.015539888981768314
20-50 km,2011,Garajuba,45.025,2928.528,0.015374618238241192
20-50 km,2011,Espada,41.650999999999996,2928.528,0.014222503592248392
20-50 km,2011,Caçao,39.99,2928.528,0.013655324449689402
