term,x,effect,ci_lo,ci_hi
active_dm,0.12467664147987806,-0.2041093679726356,-0.5365084506931863,0.12828971474791515
active_dm,0.12929656106645376,-0.19908644718479954,-0.5307765074838812,0.13260361311428212
active_dm,0.13391648065302947,-0.19393206107773694,-0.5248537481416252,0.1369896259861513
active_dm,0.13853640023960517,-0.18864176806293315,-0.5187347619934696,0.14145122586760328
active_dm,0.14315631982618077,-0.18321112655187372,-0.5124141559305921,0.14599190282684477
active_dm,0.14777623941275647,-0.17763569495604378,-0.5058865634856102,0.1506151735735227
active_dm,0.15239615899933218,-0.17191103168692884,-0.4991466545921685,0.15532459121831083
active_dm,0.15701607858590788,-0.16603269515601435,-0.492189146081755,0.16012375576972634
active_dm,0.16163599817248359,-0.1599962437747858,-0.48500881297932297,0.1650163254297514
active_dm,0.1662559177590593,-0.15379723595472827,-0.4776005006665306,0.17000602875707405
active_dm,0.170875837345635,-0.14743123010732734,-0.469959137989284,0.17509667777462934
active_dm,0.1754957569322107,-0.14089378464406846,-0.4620797513948012,0.18029218210666428
active_dm,0.1801156765187864,-0.13418045797643696,-0.45395748019263676,0.18559656423976284
active_dm,0.1847355961053621,-0.12728680851591817,-0.44558759304400536,0.19101397601216902
active_dm,0.18935551569193781,-0.12020839467399769,-0.4369655057942999,0.1965487164463045
active_dm,0.19397543527851352,-0.11294081415434226,-0.42808685164155885,0.20220522333287433
active_dm,0.19859535486508922,-0.1054820221915135,-0.418950502008571,0.20798645762554402
active_dm,0.20321527445166482,-0.0978336281929596,-0.40956025621997355,0.21389299983405435
active_dm,0.20783519403824052,-0.08999755590358044,-0.3999205198077671,0.21992540800060623
active_dm,0.21245511362481623,-0.08197572906827681,-0.39003589937554245,0.2260844412389888
active_dm,0.21707503321139193,-0.07377007143194933,-0.3799112050230523,0.23237106215915368
active_dm,0.22169495279796764,-0.06538250673949841,-0.3695514533343493,0.23878643985535247
active_dm,0.22631487238454334,-0.05681495873582463,-0.35896187089712006,0.2453319534254708
active_dm,0.23093479197111905,-0.04806935116582848,-0.348147898315202,0.252009195983545
active_dm,0.23555471155769475,-0.03914760777441049,-0.3371151946692851,0.25881997912046406
active_dm,0.24017463114427046,-0.030051652306471124,-0.3258696423723278,0.2657663377593856
active_dm,0.24479455073084616,-0.020783408506911207,-0.3144173523560613,0.2728505353422389
active_dm,0.24941447031742187,-0.011344800120630818,-0.30276466951295694,0.2800750692716953
active_dm,0.25403438990399757,-0.0017377508925306075,-0.29091817830403566,0.2874426765189745
active_dm,0.2586543094905733,0.008035815432488831,-0.27888470842672597,0.2949563392917036
active_dm,0.26327422907714887,0.017973975109526797,-0.2666713404185591,0.3026192906376127
active_dm,0.2678941486637246,0.028074804393683227,-0.25428541105173175,0.31043501983909816
active_dm,0.2725140682503003,0.03833637954005734,-0.2417345183504845,0.3184072774305992
active_dm,0.277133987836876,0.048756776803748625,-0.22902652603795082,0.32654007964544807
active_dm,0.2817539074234517,0.05933407243985637,-0.21616956719185978,0.33483771207157254
active_dm,0.2863738270100274,0.07006634270348053,-0.2031720468596296,0.34330473226659064
active_dm,0.2909937465966031,0.0809516638497203,-0.19004264335358656,0.35194597105302716
active_dm,0.2956136661831788,0.09198811213367514,-0.17679030791713585,0.3607665321844861
active_dm,0.3002335857697545,0.10317376381044466,-0.16342426242387523,0.36977179004476457
active_dm,0.3048535053563302,0.11450669513512822,-0.1499539947453491,0.37896738501560556
active_dm,0.3094734249429059,0.12598498236282535,-0.1363892514012437,0.3883592161268944
active_dm,0.3140933445294816,0.1376067017486355,-0.12274002709055007,0.39795343058782107
active_dm,0.3187132641160573,0.14936992954765832,-0.10901655069613819,0.40775640979145483
active_dm,0.3233331837026329,0.1612727420149925,-0.09522926736117168,0.4177747513911567
active_dm,0.3279531032892086,0.17331321540573869,-0.08138881625692657,0.42801524706840394
active_dm,0.33257302287578433,0.185489425974996,-0.06750600370101098,0.4384848556510029
active_dm,0.33719294246236003,0.19779944997786364,-0.05359177134561188,0.44919067130133916
active_dm,0.34181286204893574,0.21024136366944127,-0.03965715923978966,0.4601398865786722
active_dm,0.34643278163551144,0.2228132433048284,-0.025713263679604026,0.47133975028926084
active_dm,0.35105270122208715,0.23551316513912432,-0.01177118989549586,0.4827975201737445
