local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,fishermen_per_vessel,cpue_ton_per_trip,cpue_per_fisherman
GUAMARE,2016,59.0,2482,140.0,228.4,2.3728813559322033,0.09202256244963739,1.6314285714285715
GUAMARE,2017,65.0,2266,137.0,230.0,2.1076923076923078,0.10150044130626655,1.6788321167883211
GUAMARE,2018,65.0,2051,152.0,111.81,2.3384615384615386,0.05451487079473428,0.7355921052631579
GUAMARE,2019,60.0,8084,147.0,296.318,2.45,0.03665487382483919,2.015768707482993
GUAMARE,2020,57.0,3756,136.0,188.79,2.3859649122807016,0.050263578274760384,1.3881617647058824
GUAMARE,2021,52.0,3347,134.9,203.42719,2.5942307692307693,0.060778963250672245,1.507985100074129
GUAMARE,2022,71.6,4387,164.9,342.24,2.3030726256983245,0.07801230909505356,2.0754396604002427
GUAMARE,2023,57.0,4467,155.8,403.91,2.7333333333333334,0.09042086411461832,2.592490372272144
GUAMARE,2024,56.5,3479,123.0,207.4,2.1769911504424777,0.059614831848232255,1.686178861788618
MACAU,2001,208.0,3574,516.8,224.49,2.4846153846153842,0.06281197537772804,0.4343846749226007
MACAU,2002,213.0,3481,565.79,252.67,2.6562910798122066,0.07258546394714162,0.4465791194612842
MACAU,2003,218.0,4319,553.71,377.68,2.539954128440367,0.08744616809446631,0.6820899026566253
MACAU,2004,235.0,6039,666.29,688.09,2.8352765957446806,0.1139410498426892,1.0327184859445588
MACAU,2005,254.0,5826,553.88,390.76,2.1806299212598423,0.06707174733951253,0.7054957752581786
MACAU,2006,199.0,3454,504.59,216.66,2.5356281407035173,0.06272727272727273,0.42937830714045067
MACAU,2007,247.0,4853,617.58,369.66,2.500323886639676,0.07617144034617762,0.5985621296026425
MACAU,2008,307.0,11470,765.92,969.82,2.4948534201954398,0.08455274629468178,1.2662157927720912
MACAU,2009,295.0,13518,685.0,2406.311,2.3220338983050848,0.17800791537209648,3.512862773722628
MACAU,2010,432.0,18778,723.0,2081.226,1.6736111111111112,0.11083320907444882,2.878597510373444
MACAU,2011,248.0,15919,584.0,1752.6779999999999,2.3548387096774195,0.11009975500973679,3.0011609589041095
MACAU,2012,366.0,15622,482.5,1086.1,1.3183060109289617,0.06952374855972346,2.250984455958549
MACAU,2013,340.0,16881,509.25,1470.3,1.4977941176470588,0.08709792073929269,2.8871870397643593
MACAU,2014,170.0,7897,507.0,818.85,2.9823529411764707,0.10369127516778524,1.6150887573964499
MACAU,2015,182.0,9924,535.0,752.9,2.9395604395604398,0.07586658605401048,1.4072897196261682
MACAU,2016,199.0,10102,521.0,1466.0,2.6180904522613067,0.14511977826173034,2.8138195777351247
MACAU,2017,208.0,9162,481.0,1533.0,2.3125,0.1673215455140799,3.187110187110187
MACAU,2018,213.0,8221,558.0,595.3,2.619718309859155,0.07241211531443863,1.0668458781362007
MACAU,2019,231.0,23069,661.0,1643.916,2.8614718614718613,0.07126082621700117,2.4870136157337366
MACAU,2020,220.0,18086,597.0,1370.75,2.713636363636364,0.07579066681411036,2.29606365159129
MACAU,2021,211.0,18623,615.1,1308.62037,2.9151658767772513,0.07026904204478333,2.127492066330678
MACAU,2022,284.0,18228,684.1,1358.49,2.4088028169014084,0.07452764976958526,1.9858061686887882
MACAU,2023,220.0,18509,639.8,1359.32,2.9081818181818178,0.07344102868874601,2.124601437949359
MACAU,2024,210.1,15049,529.0,997.1,2.517848643503094,0.06625689414579042,1.8848771266540643
PORTO DO MANGUE,2001,61.0,4841,151.65,96.6,2.486065573770492,0.019954554844040486,0.6369930761622156
PORTO DO MANGUE,2002,66.0,3021,171.04,65.83,2.5915151515151513,0.021790797749089704,0.38488072965388215
PORTO DO MANGUE,2003,53.0,1833,151.89,46.08,2.8658490566037735,0.02513911620294599,0.3033774442030417
PORTO DO MANGUE,2004,50.0,2616,127.54,69.85,2.5508,0.026701070336391436,0.5476713188019444
PORTO DO MANGUE,2005,89.0,4660,218.09,139.68,2.4504494382022473,0.02997424892703863,0.6404695309275987
PORTO DO MANGUE,2006,44.0,2664,105.2,85.16,2.390909090909091,0.031966966966966964,0.8095057034220532
PORTO DO MANGUE,2007,75.0,1926,200.31,44.82,2.6708,0.02327102803738318,0.22375318256702112
PORTO DO MANGUE,2008,119.0,9864,372.87,351.49,3.133361344537815,0.035633617193836176,0.942660981038968
PORTO DO MANGUE,2009,152.0,7982,350.5,570.5830000000001,2.3059210526315788,0.07148371335504887,1.6279115549215408
PORTO DO MANGUE,2010,163.0,7630,328.0,452.342,2.0122699386503067,0.05928466579292267,1.379091463414634
PORTO DO MANGUE,2011,147.0,7627,291.5,579.2239999999999,1.9829931972789117,0.07594388357152221,1.9870463121783875
PORTO DO MANGUE,2012,209.0,10340,276.0,559.0,1.3205741626794258,0.054061895551257254,2.0253623188405796
PORTO DO MANGUE,2013,190.0,10207,298.0,663.5,1.568421052631579,0.06500440873910061,2.226510067114094
PORTO DO MANGUE,2014,95.0,4468,266.0,257.51,2.8,0.057634288272157566,0.9680827067669172
PORTO DO MANGUE,2015,126.0,6281,285.0,218.2,2.261904761904762,0.03473969113198535,0.7656140350877193
PORTO DO MANGUE,2016,122.0,5701,272.0,527.6,2.2295081967213113,0.09254516751447114,1.9397058823529412
