local,year,boat_type,vessels_monitored,fleet_production_ton,zero_production_flag
CAICARA DO NORTE,2013,BMP,3,10.5,False
CAICARA DO NORTE,2013,BOM,50,599.2,False
CAICARA DO NORTE,2013,BOV,59,656.7,False
CAICARA DO NORTE,2013,CAM,33,74.4,False
CAICARA DO NORTE,2013,CAR,0,0.0,True
CAICARA DO NORTE,2013,CAV,1,0.6,False
CAICARA DO NORTE,2013,JAM,16,28.9,False
CAICARA DO NORTE,2013,JAV,8,17.4,False
CAICARA DO NORTE,2013,PED,0,0.0,True
CAICARA DO NORTE,2013,PQM,1,2.9,False
CAICARA DO NORTE,2013,PQV,2,6.4,False
CAICARA DO NORTE,2014,BMG,0,0.0,True
CAICARA DO NORTE,2014,BMM,39,117.6,False
CAICARA DO NORTE,2014,BMP,2,8.4,False
CAICARA DO NORTE,2014,BOM,55,414.7,False
CAICARA DO NORTE,2014,BOV,62,465.2,False
CAICARA DO NORTE,2014,CAM,34,39.3,False
CAICARA DO NORTE,2014,CAR,0,0.0,True
CAICARA DO NORTE,2014,CAV,0,0.3,False
CAICARA DO NORTE,2014,JAM,19,18.1,False
CAICARA DO NORTE,2014,JAV,5,2.8,False
CAICARA DO NORTE,2014,PED,0,0.0,True
CAICARA DO NORTE,2014,PQM,1,1.6,False
CAICARA DO NORTE,2014,PQV,3,13.3,False
CAICARA DO NORTE,2015,BMG,0,0.0,True
CAICARA DO NORTE,2015,BMM,47,147.2,False
CAICARA DO NORTE,2015,BMP,9,23.8,False
CAICARA DO NORTE,2015,BOM,66,343.4,False
CAICARA DO NORTE,2015,BOV,42,174.2,False
CAICARA DO NORTE,2015,CAM,37,42.3,False
CAICARA DO NORTE,2015,CAR,0,0.0,True
CAICARA DO NORTE,2015,CAV,1,1.0,False
CAICARA DO NORTE,2015,JAM,18,22.2,False
CAICARA DO NORTE,2015,JAV,1,0.9,False
CAICARA DO NORTE,2015,PED,0,0.0,True
CAICARA DO NORTE,2015,PQM,0,0.9,False
CAICARA DO NORTE,2015,PQV,4,4.8,False
CAICARA DO NORTE,2016,BMG,0,0.0,True
CAICARA DO NORTE,2016,BMM,42,279.0,False
CAICARA DO NORTE,2016,BMP,8,43.0,False
CAICARA DO NORTE,2016,BOM,59,739.0,False
CAICARA DO NORTE,2016,BOV,51,489.0,False
CAICARA DO NORTE,2016,CAM,35,70.0,False
CAICARA DO NORTE,2016,CAR,0,0.0,True
CAICARA DO NORTE,2016,CAV,1,1.0,False
CAICARA DO NORTE,2016,JAM,17,34.0,False
CAICARA DO NORTE,2016,JAV,4,5.0,False
CAICARA DO NORTE,2016,PED,0,0.0,True
CAICARA DO NORTE,2016,PQM,1,2.0,False
CAICARA DO NORTE,2016,PQV,3,10.0,False
CAICARA DO NORTE,2017,BMG,0,0.0,True
CAICARA DO NORTE,2017,BMM,38,24.0,False
CAICARA DO NORTE,2017,BMP,6,0.0,True
CAICARA DO NORTE,2017,BOM,61,256.0,False
CAICARA DO NORTE,2017,BOV,39,687.0,False
CAICARA DO NORTE,2017,CAM,26,645.0,False
CAICARA DO NORTE,2017,CAR,0,0.0,True
CAICARA DO NORTE,2017,CAV,1,3.0,False
CAICARA DO NORTE,2017,JAM,12,1.0,False
CAICARA DO NORTE,2017,JAV,3,37.0,False
CAICARA DO NORTE,2017,PED,0,76.0,False
CAICARA DO NORTE,2017,PQM,1,14.0,False
CAICARA DO NORTE,2017,PQV,2,7.0,False
CAICARA DO NORTE,2018,BMG,0,0.0,True
CAICARA DO NORTE,2018,BMM,47,124.4,False
CAICARA DO NORTE,2018,BMP,9,22.5,False
CAICARA DO NORTE,2018,BOM,55,198.5,False
CAICARA DO NORTE,2018,BOV,13,25.6,False
CAICARA DO NORTE,2018,CAM,36,45.3,False
CAICARA DO NORTE,2018,CAR,0,0.0,True
CAICARA DO NORTE,2018,CAV,0,0.0,True
CAICARA DO NORTE,2018,JAM,10,7.3,False
CAICARA DO NORTE,2018,JAV,0,0.0,True
CAICARA DO NORTE,2018,PED,0,0.0,True
CAICARA DO NORTE,2018,PQM,1,0.8,False
CAICARA DO NORTE,2018,PQV,0,0.0,True
CAICARA DO NORTE,2019,BMG,0,0.0,True
CAICARA DO NORTE,2019,BMM,67,425.2,False
CAICARA DO NORTE,2019,BMP,10,35.0,False
CAICARA DO NORTE,2019,BOM,63,511.1,False
CAICARA DO NORTE,2019,BOV,11,58.8,False
CAICARA DO NORTE,2019,CAM,40,76.4,False
CAICARA DO NORTE,2019,CAR,0,0.0,True
CAICARA DO NORTE,2019,CAV,0,0.0,True
CAICARA DO NORTE,2019,JAM,13,14.9,False
CAICARA DO NORTE,2019,JAV,0,0.0,True
CAICARA DO NORTE,2019,PED,0,0.0,True
CAICARA DO NORTE,2019,PQM,1,0.3,False
CAICARA DO NORTE,2019,PQV,2,1.0,False
CAICARA DO NORTE,2020,BMG,0,0.0,True
CAICARA DO NORTE,2020,BMM,68,421.3,False
CAICARA DO NORTE,2020,BMP,8,34.7,False
CAICARA DO NORTE,2020,BOM,57,425.6,False
CAICARA DO NORTE,2020,BOV,8,35.4,False
CAICARA DO NORTE,2020,CAM,41,62.8,False
CAICARA DO NORTE,2020,CAR,0,0.0,True
CAICARA DO NORTE,2020,CAV,0,0.0,True
CAICARA DO NORTE,2020,JAM,12,16.7,False
CAICARA DO NORTE,2020,JAV,0,0.0,True
CAICARA DO NORTE,2020,PED,0,0.0,True
CAICARA DO NORTE,2020,PQM,1,1.7,False
CAICARA DO NORTE,2020,PQV,2,1.0,False
CAICARA DO NORTE,2021,BMG,0,0.0,True
CAICARA DO NORTE,2021,BMM,68,528.059,False
CAICARA DO NORTE,2021,BMP,7,40.317,False
CAICARA DO NORTE,2021,BOM,53,567.345,False
CAICARA DO NORTE,2021,BOV,5,33.24,False
CAICARA DO NORTE,2021,CAM,38,63.979,False
CAICARA DO NORTE,2021,CAR,0,0.0,True
CAICARA DO NORTE,2021,CAV,0,0.0,True
CAICARA DO NORTE,2021,JAM,12,15.336,False
CAICARA DO NORTE,2021,JAV,0,0.0,True
CAICARA DO NORTE,2021,PED,0,0.0,True
CAICARA DO NORTE,2021,PQM,2,2.464,False
CAICARA DO NORTE,2021,PQV,1,0.0,True
CAICARA DO NORTE,2022,BMG,0,0.0,True
CAICARA DO NORTE,2022,BMM,85,463.0,False
CAICARA DO NORTE,2022,BMP,11,56.0,False
CAICARA DO NORTE,2022,BOM,42,282.0,False
CAICARA DO NORTE,2022,BOV,3,9.0,False
CAICARA DO NORTE,2022,CAM,34,63.0,False
CAICARA DO NORTE,2022,CAR,0,0.0,True
CAICARA DO NORTE,2022,CAV,0,0.0,True
