local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,fishermen_per_vessel_x,cpue_ton_per_trip,cpue_per_fisherman,fishermen_per_vessel_y,municipality,n_landing_points,period
PORTO DO MANGUE,2005,89.0,4660,218.09,139.68,2.4504494382022473,0.0299742489270386,0.6404695309275987,2.4504494382022473,,3,early
PORTO DO MANGUE,2006,44.0,2664,105.2,85.16,2.390909090909091,0.0319669669669669,0.8095057034220532,2.390909090909091,,3,early
PORTO DO MANGUE,2007,75.0,1926,200.31,44.82,2.6708,0.0232710280373831,0.2237531825670211,2.6708,,3,early
PORTO DO MANGUE,2008,119.0,9864,372.87,351.49,3.133361344537815,0.0356336171938361,0.942660981038968,3.133361344537815,,3,early
PORTO DO MANGUE,2009,152.0,7982,350.5,570.5830000000001,2.3059210526315788,0.0714837133550488,1.6279115549215408,2.3059210526315788,,3,middle
PORTO DO MANGUE,2010,163.0,7630,328.0,452.342,2.0122699386503067,0.0592846657929226,1.379091463414634,2.0122699386503067,,3,middle
PORTO DO MANGUE,2011,147.0,7627,291.5,579.2239999999999,1.9829931972789117,0.0759438835715222,1.9870463121783877,1.9829931972789117,,3,middle
PORTO DO MANGUE,2012,209.0,10340,276.0,559.0,1.3205741626794258,0.0540618955512572,2.0253623188405796,1.3205741626794258,,3,middle
PORTO DO MANGUE,2013,190.0,10207,298.0,663.5,1.568421052631579,0.0650044087391006,2.226510067114094,1.568421052631579,,3,middle
PORTO DO MANGUE,2014,95.0,4468,266.0,257.51,2.8,0.0576342882721575,0.9680827067669172,2.8,,3,middle
PORTO DO MANGUE,2015,126.0,6281,285.0,218.2,2.261904761904762,0.0347396911319853,0.7656140350877193,2.261904761904762,,3,middle
PORTO DO MANGUE,2016,122.0,5701,272.0,527.6,2.2295081967213113,0.0925451675144711,1.9397058823529412,2.2295081967213113,,3,recent
PORTO DO MANGUE,2017,116.0,4348,244.0,529.0,2.103448275862069,0.1216651333946642,2.168032786885246,2.103448275862069,,3,recent
PORTO DO MANGUE,2018,111.0,2996,279.0,150.24,2.5135135135135136,0.050146862483311,0.538494623655914,2.5135135135135136,,3,recent
PORTO DO MANGUE,2019,111.0,7740,295.0,398.551,2.6576576576576576,0.0514923772609819,1.3510203389830509,2.6576576576576576,,3,recent
PORTO DO MANGUE,2020,101.0,6156,290.0,321.68,2.871287128712871,0.052254710851202,1.1092413793103448,2.871287128712871,,3,recent
PORTO DO MANGUE,2021,111.0,7032,300.2,354.64167,2.7045045045045044,0.0504325469283276,1.1813513324450369,2.7045045045045044,,3,recent
PORTO DO MANGUE,2022,117.9,6901,278.3,649.24,2.3604749787955894,0.0940791189682654,2.332878189004671,2.3604749787955894,,3,recent
PORTO DO MANGUE,2023,101.0,6850,273.7,546.13,2.7099009900990096,0.07972700729927,1.9953598830836683,2.7099009900990096,,3,recent
PORTO DO MANGUE,2024,106.0,4918,246.0,393.6,2.320754716981132,0.0800325335502236,1.6,2.320754716981132,,3,recent
TIBAU,2008,2.0,4,6.0,2.56,3.0,,0.4266666666666667,3.0,,2,early
TIBAU,2009,19.0,513,85.0,36.267,4.473684210526316,0.0706959064327485,0.4266705882352941,4.473684210526316,,2,middle
TIBAU,2010,40.0,1360,71.0,39.521,1.775,0.0290595588235294,0.5566338028169014,1.775,,2,middle
TIBAU,2011,85.0,1100,55.5,42.845,0.6529411764705882,0.03895,0.771981981981982,0.6529411764705882,,2,middle
TIBAU,2012,18.0,885,34.5,35.8,1.9166666666666667,0.0404519774011299,1.0376811594202895,1.9166666666666667,,2,middle
TIBAU,2013,14.0,761,26.5,41.4,1.8928571428571428,0.0544021024967148,1.562264150943396,1.8928571428571428,,2,middle
TIBAU,2014,5.0,367,23.0,12.37,4.6,0.0337057220708446,0.5378260869565217,4.6,,2,middle
TIBAU,2015,9.0,362,37.0,16.7,4.111111111111111,0.0461325966850828,0.4513513513513513,4.111111111111111,,2,middle
TIBAU,2016,6.0,482,31.0,35.2,5.166666666666667,0.0730290456431535,1.135483870967742,5.166666666666667,,2,recent
TIBAU,2017,14.0,482,31.0,33.0,2.2142857142857144,0.0684647302904564,1.064516129032258,2.2142857142857144,,2,recent
TIBAU,2018,12.0,483,50.0,34.15,4.166666666666667,0.070703933747412,0.6829999999999999,4.166666666666667,,2,recent
TIBAU,2019,7.0,2295,36.0,33.977,5.142857142857143,0.0148047930283224,0.9438055555555556,5.142857142857143,,2,recent
TIBAU,2020,6.0,651,33.0,17.84,5.5,0.0274039938556067,0.5406060606060606,5.5,,2,recent
TIBAU,2021,7.0,671,30.8,12.84931,4.4,0.0191494932935916,0.4171853896103896,4.4,,2,recent
TIBAU,2022,12.9,659,26.4,16.07,2.0465116279069764,0.0243854324734446,0.6087121212121213,2.0465116279069764,,2,recent
TIBAU,2023,6.0,671,25.6,23.15,4.266666666666667,0.0345007451564828,0.904296875,4.266666666666667,,2,recent
TIBAU,2024,5.5,667,27.0,17.2,4.909090909090909,0.0257871064467766,0.637037037037037,4.909090909090909,,2,recent
