local,year,species,sp_production_ton
AREIA BRANCA,2015,Bonito,37.8
AREIA BRANCA,2015,Budiao,0.1
AREIA BRANCA,2015,Buzios,0.0
AREIA BRANCA,2015,Caico,2.2
AREIA BRANCA,2015,Camarao,0.0
AREIA BRANCA,2015,Camurim,0.8
AREIA BRANCA,2015,Camurupim,1.9
AREIA BRANCA,2015,Cangulo,0.6
AREIA BRANCA,2015,Caranguejo,0.0
AREIA BRANCA,2015,Carapeba,1.3
AREIA BRANCA,2015,Carauna,0.1
AREIA BRANCA,2015,Cavala,5.8
AREIA BRANCA,2015,Caçao,2.6
AREIA BRANCA,2015,Cioba,11.8
AREIA BRANCA,2015,Cururuca,4.7
AREIA BRANCA,2015,Dentao,1.9
AREIA BRANCA,2015,Dourado,24.0
AREIA BRANCA,2015,Espada,0.1
AREIA BRANCA,2015,Garabebeu,0.0
AREIA BRANCA,2015,Garajuba,13.2
AREIA BRANCA,2015,Garoupa,0.5
AREIA BRANCA,2015,Guaiuba,10.9
AREIA BRANCA,2015,Lagosta,44.5
AREIA BRANCA,2015,Marisco,0.0
AREIA BRANCA,2015,Outros,16.8
AREIA BRANCA,2015,Ova Voador,0.0
AREIA BRANCA,2015,Pargo,0.9
AREIA BRANCA,2015,Paru,3.3
AREIA BRANCA,2015,Peixe Galo,1.6
AREIA BRANCA,2015,Peixe Voador,0.0
AREIA BRANCA,2015,Pescada,6.1
AREIA BRANCA,2015,Pirauna,0.0
AREIA BRANCA,2015,Polvo,0.1
AREIA BRANCA,2015,Salema,1.2
AREIA BRANCA,2015,Saramunete,0.0
AREIA BRANCA,2015,Sardinha,0.1
AREIA BRANCA,2015,Serra,4.6
AREIA BRANCA,2015,Siri,0.1
AREIA BRANCA,2015,Sirigado,1.9
AREIA BRANCA,2015,Tainha,1.6
AREIA BRANCA,2015,Tilapia,0.0
AREIA BRANCA,2015,Ubarana,0.5
AREIA BRANCA,2015,Xareu,0.2
AREIA BRANCA,2016,Agulha,9.5
AREIA BRANCA,2016,Albacora,2608.6
AREIA BRANCA,2016,Arabaiana,3.7
AREIA BRANCA,2016,Ariaco,33.4
AREIA BRANCA,2016,Arraia,7.2
AREIA BRANCA,2016,Bagre,4.8
AREIA BRANCA,2016,Biquara,6.1
AREIA BRANCA,2016,Bonito,45.2
AREIA BRANCA,2016,Buzios,0.0
AREIA BRANCA,2016,Caico,12.0
AREIA BRANCA,2016,Camarao,0.4
AREIA BRANCA,2016,Camurim,3.0
AREIA BRANCA,2016,Camurupim,1.7
AREIA BRANCA,2016,Caranguejo,0.0
AREIA BRANCA,2016,Carapeba,3.7
AREIA BRANCA,2016,Cavala,10.1
AREIA BRANCA,2016,Caçao,7.6
AREIA BRANCA,2016,Cioba,32.0
AREIA BRANCA,2016,Cururuca,13.3
AREIA BRANCA,2016,Dentao,3.2
AREIA BRANCA,2016,Dourado,28.6
AREIA BRANCA,2016,Espada,2.2
AREIA BRANCA,2016,Garabebeu,0.1
AREIA BRANCA,2016,Garajuba,27.5
AREIA BRANCA,2016,Garoupa,0.7
AREIA BRANCA,2016,Guaiuba,14.7
AREIA BRANCA,2016,Lagosta,98.4
AREIA BRANCA,2016,Marisco,0.0
AREIA BRANCA,2016,Outros,31.9
AREIA BRANCA,2016,Ova Voador,0.0
AREIA BRANCA,2016,Pargo,2.9
AREIA BRANCA,2016,Paru,3.3
AREIA BRANCA,2016,Peixe Galo,2.1
AREIA BRANCA,2016,Peixe Voador,0.0
AREIA BRANCA,2016,Pescada,11.7
AREIA BRANCA,2016,Polvo,0.1
AREIA BRANCA,2016,Salema,2.4
AREIA BRANCA,2016,Sardinha,0.2
AREIA BRANCA,2016,Serra,26.4
AREIA BRANCA,2016,Siri,0.1
AREIA BRANCA,2016,Sirigado,6.2
AREIA BRANCA,2016,Tainha,5.2
AREIA BRANCA,2016,Tilapia,0.0
AREIA BRANCA,2017,Agulha,4.7
AREIA BRANCA,2017,Albacora,2533.0
AREIA BRANCA,2017,Arabaiana,3.2
AREIA BRANCA,2017,Ariaco,32.0
AREIA BRANCA,2017,Bagre,9.4
AREIA BRANCA,2017,Biquara,4.4
AREIA BRANCA,2017,Bonito,47.6
AREIA BRANCA,2017,Buzios,0.0
AREIA BRANCA,2017,Caico,6.5
AREIA BRANCA,2017,Camarao,0.3
AREIA BRANCA,2017,Camurim,3.2
